"ACAD_PLAN"	"ACAD_PLAN_EFFDT"	"ACAD_PLAN_EFF_STATUS"	"ACAD_PLAN_DESCR"	"ACAD_PLAN_TYPE"	"ACAD_PLAN_TYPE_DESCRSHORT"	"ACAD_PROG"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"	"ACAD_CAREER"	"STUDY_FIELD"	"STUDY_FIELD_DESCRSHORT"	"STUDY_FIELD_DESCRFORMAL"	"DEGREE"	"TRNSCR_DESCR"	"RACK_DIVSN_CD"	"RACK_DIVSN_DESCR"	"CIP_ALTERNATIVE_CD"	"CIP_ALTERNATIVE_DESCR"	"CIP_ALTERNATIVE_DESCRSHORT"	"LAST_ADM_TERM"	"LAST_ADM_TERM_DESCRSHORT"
"CASCAB"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UKIN"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCABLSA"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"ULSA"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCABPP"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UPP"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCARTAB"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UART"	" "	" "	" "	"AB"	"Minor - Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBBA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BBA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UBA"	" "	" "	" "	"BBA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBDA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BDA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BDA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UART"	" "	" "	" "	"BFA"	"Minor - Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFAIP"	01-JAN-01	"A"	"Minor -Com Action & Soc Ch BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UJND"	" "	" "	" "	"BFA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFAM"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BFA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBMA"	01-JAN-01	"A"	"Minor -Comm Act & SocCh BMusA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BMA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBMU"	01-JAN-01	"A"	"Minor -Comm Act & SocCh BMus"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BMU"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBNU"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UNUR"	" "	" "	" "	"BNU"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBS"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UKIN"	" "	" "	" "	"BS"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSAUP"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UARC"	" "	" "	" "	"BS"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEAER"	01-JAN-01	"A"	"Minor -ComAct & SocCh BSE Aero"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEBE"	01-JAN-01	"A"	"Minor -ComAct & SocCh BSE BioE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BME"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSECHE"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE ChemE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSH"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSECIV"	01-JAN-01	"A"	"Minor -ComAct & SocCh BSE CivE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSV"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSECOM"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE CompE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSU"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSECS"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE CompS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BCO"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEDS"	01-JAN-01	"A"	"Minor -Comm Ac & Soc Ch BSE DS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSE"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEEEP"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE E Phy"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSP"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEELE"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE ElecE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSL"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEENV"	01-JAN-01	"A"	"Minor -Com Act&SocCh BSE EnvE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BEE"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEESS"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE ESS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BES"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEIOP"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE IndOp"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSO"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEMAT"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE Mat S"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEMEC"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE MechE"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSJ"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSENAV"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE NAME"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSQ"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSENER"	01-JAN-01	"A"	"Minor -ComAct & SocChBSE Nuc E"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSR"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSENG"	01-JAN-01	"A"	"Minor -ComAct & SocCh BS Eng"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSG"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CSYSARTAB"	01-JAN-01	"A"	"Minor -Complex Systems BA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UART"	"1810"	"Complex Sy"	"Complex Systems"	"AB"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSAUP"	01-JAN-01	"A"	"Minor -Complex Systems BS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UARC"	"1810"	"Complex Sy"	"Complex Systems"	"BS"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBBA"	01-JAN-01	"A"	"Minor -Complex Systems BBA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UBA"	"1810"	"Complex Sy"	"Complex Systems"	"BBA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBDA"	01-JAN-01	"A"	"Minor -Complex Systems BDA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UMUS"	"1810"	"Complex Sy"	"Complex Systems"	"BDA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBFA"	01-JAN-01	"A"	"Minor -Complex Systems BFA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UART"	"1810"	"Complex Sy"	"Complex Systems"	"BFA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBFAIP"	01-JAN-01	"A"	"Minor -Complex Systems BFA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UJND"	"1810"	"Complex Sy"	"Complex Systems"	"BFA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBFAM"	01-JAN-01	"A"	"Minor -Complex Systems BFA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UMUS"	"1810"	"Complex Sy"	"Complex Systems"	"BFA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBMA"	01-JAN-01	"A"	"Minor -Complex Systems BMusA"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UMUS"	"1810"	"Complex Sy"	"Complex Systems"	"BMA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBMU"	01-JAN-01	"A"	"Minor -Complex Systems BMus"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UMUS"	"1810"	"Complex Sy"	"Complex Systems"	"BMU"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBNU"	01-JAN-01	"A"	"Minor -Complex Systems BS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UNUR"	"1810"	"Complex Sy"	"Complex Systems"	"BNU"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSCLSA"	01-JAN-01	"A"	"Minor -Complex Systems BSChem"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"ULSA"	"1810"	"Complex Sy"	"Complex Systems"	"BSC"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSDH"	01-JAN-01	"A"	"Minor -Complex Systems BS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UDH"	"1810"	"Complex Sy"	"Complex Systems"	"BS"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEAER"	01-JAN-01	"A"	"Minor -Complex Systems BSE Aer"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSA"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEAOS"	01-JAN-01	"A"	"Minor -Complex SystemsBSE AOSS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSX"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEBE"	01-JAN-01	"A"	"Minor -Complex SystemsBSE BioE"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BME"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSECE"	01-JAN-01	"A"	"Minor -Complex Systems BSE C&E"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSI"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSECHE"	01-JAN-01	"A"	"Minor -Complex Syst BSE Chem E"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSH"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSECIV"	01-JAN-01	"A"	"Minor -Complex SystemsBSE CivE"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSV"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSECOM"	01-JAN-01	"A"	"Minor -Complex Syst BSE Comp E"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSU"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSECS"	01-JAN-01	"A"	"Minor -Complex Syst BSE Comp S"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BCO"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEDS"	01-JAN-01	"A"	"Minor -Complex Systems BSE DS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSE"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEELE"	01-JAN-01	"A"	"Minor -Complex Syst BSE Elec E"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSL"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEENV"	01-JAN-01	"A"	"Minor -Complex SystemsBSE EnvE"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BEE"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEEP"	01-JAN-01	"A"	"Minor -Complex Syst BSE E Phy"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BSP"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"CSYSBSEESS"	01-JAN-01	"A"	"Minor -Complex SystemsBSE ESS"	"MIN"	"Minor"	" "	"30.0601"	"Systems Science and Theory"	"Systems Science and Theory"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"UENG"	"1810"	"Complex Sy"	"Complex Systems"	"BES"	"Complex Systems"	"2"	"Phys Sciences and Engineering"	"119"	"Physical Sciences"	"PhysSci"	" "	" "
"999016PHD"	01-JAN-01	"A"	"MusTheo&Phil PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program MusicTheory and Philosophy"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"999017PHD"	01-JAN-01	"A"	"NatResEnv&CivEnvlEng PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program Nat Resources & Environment & Civil & Environ Engin"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"999018PHD"	01-JAN-01	"A"	"PoliSci&HlthSvcsOrgPlcy PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program Political Science & Health Services Org & Policy"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"999019PHD"	01-JAN-01	"A"	"PoliSci&Phil PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program Political Science and Philosophy"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"999020PHD"	01-JAN-01	"A"	"Psych&BusAd PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program Psychology and Business Administration"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"999021PHD"	01-JAN-01	"A"	"ScrArtsCult&AsLangCults PhD"	"MAJ"	"Major"	"00512"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"	"GRAC"	"9990"	"Ind Degree"	"Independent Interdependent Degree Program"	"PHD"	"Individualized Interdepartmental Degree Program Screen Arts & Cultures & Asian Languages & Cultures"	"4"	"Humanities and the Arts"	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
