"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"4810MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Analysis & Retrieval MSI"
"4860MSI15"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Library & Information Sci MSI"
"5050MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Information Policy MSI"
"8110MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Preservation of Informat MSI"
"8520MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"School Library Media MSI"
"1160MBA25"	"BUS AD"	"School of Business Administration"	"2010/04/01 00:00:00"	"100"	"Business Administration MBA"
"4470MSI1"	"INFOR"	"School of Information"	"2010/04/01 00:00:00"	"100"	"Information MSI"
"5970MS1"	"NURS"	"School Of Nursing"	"2010/04/01 00:00:00"	"100"	"Nursing Bus & Health Systems"
"4470MSI3"	"INFOR"	"School of Information"	"2010/04/01 00:00:00"	"100"	"Information MSI"
"5210MD7"	"Medical Sc"	"Medical School Administration"	"2010/04/01 00:00:00"	"100"	"Medicine MD"
"4470MSI5"	"INFOR"	"School of Information"	"2010/04/01 00:00:00"	"100"	"Information MSI"
"ARTDAUP"	"ART"	"School Of Art And Design"	"1901/01/01 00:00:00"	"100"	"Minor -Art & Design BS"
"ARTDBBA"	"ART"	"School Of Art And Design"	"1901/01/01 00:00:00"	"100"	"Minor -Art & Design BBA"
"EENGABLSA"	"Electrical"	"Electrical Engr & Computer Sci"	"1901/01/01 00:00:00"	"100"	"Minor -Electrical Engin BA"
"EENGBSLSA"	"Electrical"	"Electrical Engr & Computer Sci"	"1901/01/01 00:00:00"	"100"	"Minor -Electrical Engin BS"
"3110BSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"2010/05/01 00:00:00"	"100"	"Environmental Geosciences BS"
"2560ABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"2010/05/01 00:00:00"	"100"	"Earth Sciences BA"
"2560BSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"2010/05/01 00:00:00"	"100"	"Earth Sciences BS"
"6200AB"	"Atm, Ocean"	"Atm, Oceanic And Space Science"	"2010/05/01 00:00:00"	"100"	"Oceanography BA"
"6200BS"	"Atm, Ocean"	"Atm, Oceanic And Space Science"	"2010/05/01 00:00:00"	"100"	"Oceanography BS"
"5150"	"NURS"	"School Of Nursing"	"2010/05/18 00:00:00"	"100"	"Medical Surgical Nursing PMC"
"5150MS"	"NURS"	"School Of Nursing"	"2010/05/18 00:00:00"	"100"	"Medical Surgical Nursing MS"
"5150MS1"	"NURS"	"School Of Nursing"	"2001/06/27 00:00:00"	"100"	"Medical Surgical Nursing MS"
"CASCBBA"	"SOC WK"	"School Of Social Work"	"1901/01/01 00:00:00"	"100"	"Minor -Comm Action & SocCh BBA"
"3540MF"	"NR & E"	"Sch Of Nat Resources & Environ"	"2010/01/01 00:00:00"	"100"	"Forestry MF"
"1360PHD"	"Microbiolo"	"Microbiology And Immunology"	"1901/01/01 00:00:00"	"100"	"Cancer Biology PhD"
"1360"	"Microbiolo"	"Microbiology And Immunology"	"1901/01/01 00:00:00"	"100"	"Cancer Biology"
"6430MS"	"Oral Surge"	"Oral Surgery Dentistry"	"1901/01/01 00:00:00"	"100"	"Oral & Maxillofacial Pathol MS"
"4800MSI"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI1"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI2"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI3"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI4"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI5"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI6"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"4800MSI7"	"INFOR"	"School of Information"	"2010/06/15 00:00:00"	"100"	"Incentive-Centered Design MSI"
"3840MSI"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI1"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI2"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI3"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI4"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI5"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI6"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"3840MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Infor Econ for Management MSI"
"8560MSI"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI1"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI2"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI3"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI4"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI5"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI6"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"8560MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Social Computing MSI"
"9220MSI7"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Tailored MSI"
"1550MSE4"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"100"	"Civil Engineering MSE"
"1160MBA38"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"100"	"Business Administration MBA"
"5010MEG2"	"Manufact"	"Program In Manufacturing"	"2010/06/10 00:00:00"	"100"	"Manufacturing MEng"
"5810MSE3"	"Naval Arch"	"Naval Arch & Marine Engr Dept"	"2010/06/10 00:00:00"	"100"	"Naval Arch & Marine Eng MSE"
"1550MSE3"	"Civil & En"	"Civil & Environmental Engr"	"2010/06/10 00:00:00"	"100"	"Civil Engineering MSE"
"4390MSE3"	"Industrial"	"Industrial-Operations Engr Dep"	"2010/06/10 00:00:00"	"100"	"Industrial & Oper Eng MSE"
"1160MBA19"	"BUS AD"	"School of Business Administration"	"2010/09/01 00:00:00"	"100"	"Business Administration MBA"
"1160MBA20"	"BUS AD"	"School of Business Administration"	"2010/06/10 00:00:00"	"100"	"Business Administration MBA"
"1160MBA21"	"BUS AD"	"School of Business Administration"	"2010/06/10 00:00:00"	"100"	"Business Administration MBA"
"1160MBA22"	"BUS AD"	"School of Business Administration"	"2010/06/10 00:00:00"	"100"	"Business Administration MBA"
"1160MBA23"	"BUS AD"	"School of Business Administration"	"2010/06/10 00:00:00"	"100"	"Business Administration MBA"
"CCIVAB"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Civilization BA"
"CCIVBS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Civilization BS"
"4880PHD"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"50"	"Ling & Romance Lang & Lit PhD"
"4880"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"50"	"Ling & Romance Lang & Lit"
"44701"	"INFOR"	"School of Information"	"1901/01/01 00:00:00"	"100"	"Information"
"7740PHD2"	"Psychology"	"Psychology Department"	"1901/01/01 00:00:00"	"100"	"Psychology PhD"
"9090AM2"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Statistics MA"
"9090PHD3"	"Statistics"	"Statistics Department"	"2010/07/27 00:00:00"	"100"	"Statistics PhD"
"7740PHD1"	"Psychology"	"Psychology Department"	"2010/07/27 00:00:00"	"100"	"Psychology PhD"
"999001PHD"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"50"	"AmCult&EnglLangLit PhD"
"999001PHD"	"ELandL"	"English Language & Literature Dept"	"1901/01/01 00:00:00"	"50"	"AmCult&EnglLangLit PhD"
"999002PHD"	"Applied Ph"	"Applied Physics Program"	"1901/01/01 00:00:00"	"50"	"AppPhys&BiomedEng PhD"
"999002PHD"	"Biomedical"	"Biomedical Engineering"	"1901/01/01 00:00:00"	"50"	"AppPhys&BiomedEng PhD"
